Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Saurabh,UK (United Kingdom),iPhone,0,perks,The Perks of Being a Wallflower,view_video_info,title_results,17/12/20 2:43
Saurabh,UK (United Kingdom),iPad,0,,#Alive,view_video_info,popularSearches,16/12/20 7:15
Saurabh,UK (United Kingdom),iPad,0,,The Walking Dead,view_video_info,popularSearches,16/12/20 7:15
Saurabh,UK (United Kingdom),iPad,0,life as we,Set It Up,view_video_info,title_results,16/12/20 7:15
Saurabh,UK (United Kingdom),iPad,0,life as we,,play,video_info,16/12/20 7:14
Saurabh,UK (United Kingdom),iPad,0,life as we,How Do You Know,view_video_info,title_results,16/12/20 7:14
Saurabh,UK (United Kingdom),iPad,0,as good,"Definitely, Maybe",view_video_info,title_results,16/12/20 7:11
Saurabh,UK (United Kingdom),iPad,0,10 thi,10 Things I Hate About You,view_suggestion_info,suggestion_results,16/12/20 7:04
Saurabh,UK (United Kingdom),iPad,0,snow,Let It Snow,view_video_info,title_results,16/12/20 7:00
Saurabh,UK (United Kingdom),iPad,0,snow,,play,video_info,16/12/20 6:58
Saurabh,UK (United Kingdom),iPad,0,snow,Knock Knock,view_video_info,title_results,16/12/20 6:57
Saurabh,UK (United Kingdom),iPad,0,snow,,play,video_info,16/12/20 6:56
Saurabh,UK (United Kingdom),iPad,0,snow,Snowpiercer,play,video_info,16/12/20 6:54
Saurabh,UK (United Kingdom),iPad,0,snow,Snowpiercer,view_video_info,title_results,16/12/20 6:54
Saurabh,UK (United Kingdom),iPad,0,i saw the de,,play,video_info,16/12/20 6:52
Saurabh,UK (United Kingdom),iPad,0,i saw the de,Svaha: The Sixth Finger,view_video_info,title_results,16/12/20 6:49
Saurabh,UK (United Kingdom),iPad,0,i saw the de,The Call,view_video_info,title_results,16/12/20 6:48
Saurabh,UK (United Kingdom),iPad,0,just frieds,Valentine's Day,view_video_info,title_results,14/12/20 6:14
Saurabh,UK (United Kingdom),iPhone,0,unabomv,Dr. Seuss' The Grinch,view_video_info,title_results,11/12/20 12:53
Saurabh,UK (United Kingdom),iPhone,0,unabomv,Unabomber - In His Own Words,view_video_info,title_results,11/12/20 12:52
Saurabh,UK (United Kingdom),iPad,0,ryan rey,Selfless,view_video_info,title_results,10/12/20 20:33
Saurabh,UK (United Kingdom),iPad,0,defi,"Definitely, Maybe",view_video_info,title_results,10/12/20 20:33
Saurabh,UK (United Kingdom),iPad,0,dark,Dark,view_video_info,title_results,10/12/20 20:30
Saurabh,UK (United Kingdom),iPad,0,easy,Easy A,view_video_info,title_results,10/12/20 18:49
